,Name,Year,Quarter,Type,Count,Percentage
4,DowntownYonge,2024,Q4,Local,3766975.238,17.01861145
5,DowntownYonge,2024,Q4,Worker / Student,4236974.271,19.14199439
6,DowntownYonge,2024,Q4,Other Visitor,14130495.76,63.83939416
37,DowntownYonge,2024,Q3,Local,3972305.867,17.27299611
38,DowntownYonge,2024,Q3,Worker / Student,4501412.565,19.57373987
39,DowntownYonge,2024,Q3,Other Visitor,14523483.91,63.15326401
70,DowntownYonge,2024,Q2,Local,3876100.71,17.98046138
71,DowntownYonge,2024,Q2,Worker / Student,4257580.153,19.75006876
72,DowntownYonge,2024,Q2,Other Visitor,13423611.95,62.26946986
103,DowntownYonge,2024,Q1,Local,3546439.956,17.32485012
104,DowntownYonge,2024,Q1,Worker / Student,3848324.111,18.799596
105,DowntownYonge,2024,Q1,Other Visitor,13075484.92,63.87555388
136,DowntownYonge,2023,Q4,Local,3901522.029,18.00710349
137,DowntownYonge,2023,Q4,Worker / Student,4359209.23,20.11951519
138,DowntownYonge,2023,Q4,Other Visitor,13405840.66,61.87338132
169,DowntownYonge,2023,Q3,Local,3157272.172,20.05340356
170,DowntownYonge,2023,Q3,Worker / Student,3711868.928,23.57592299
171,DowntownYonge,2023,Q3,Other Visitor,8875179.623,56.37067346
202,DowntownYonge,2023,Q2,Local,3549230.985,21.34164526
203,DowntownYonge,2023,Q2,Worker / Student,4009255.704,24.10778937
204,DowntownYonge,2023,Q2,Other Visitor,9072053.934,54.55056537
235,DowntownYonge,2023,Q1,Local,3464486.031,19.06677794
236,DowntownYonge,2023,Q1,Worker / Student,3962969.489,21.81017864
237,DowntownYonge,2023,Q1,Other Visitor,10742819.72,59.12304341
268,DowntownYonge,2022,Q4,Local,3697489.924,20.82975302
269,DowntownYonge,2022,Q4,Worker / Student,4306777.38,24.2621646
270,DowntownYonge,2022,Q4,Other Visitor,9746734.929,54.90808238
301,DowntownYonge,2022,Q3,Local,3120620.595,18.25459578
302,DowntownYonge,2022,Q3,Worker / Student,3817291.886,22.32989184
303,DowntownYonge,2022,Q3,Other Visitor,10157073.53,59.41551238
334,DowntownYonge,2022,Q2,Local,3258778.025,20.6157226
335,DowntownYonge,2022,Q2,Worker / Student,3786927.349,23.9569075
336,DowntownYonge,2022,Q2,Other Visitor,8761540.817,55.4273699
367,DowntownYonge,2022,Q1,Local,2861831.955,22.04122864
368,DowntownYonge,2022,Q1,Worker / Student,3301394.089,25.42664388
369,DowntownYonge,2022,Q1,Other Visitor,6820768.641,52.53212749
400,DowntownYonge,2021,Q4,Local,3242950.363,20.3777804
401,DowntownYonge,2021,Q4,Worker / Student,3913352.952,24.59040014
402,DowntownYonge,2021,Q4,Other Visitor,8757845.823,55.03181946
433,DowntownYonge,2021,Q3,Local,2628117.844,18.6384642
434,DowntownYonge,2021,Q3,Worker / Student,3017532.889,21.40017384
435,DowntownYonge,2021,Q3,Other Visitor,8454855.703,59.96136196
466,DowntownYonge,2021,Q2,Local,1976970.796,19.05955164
467,DowntownYonge,2021,Q2,Worker / Student,2304289.769,22.21516369
468,DowntownYonge,2021,Q2,Other Visitor,6091338.084,58.72528467
499,DowntownYonge,2021,Q1,Local,1667369.063,16.67507541
500,DowntownYonge,2021,Q1,Worker / Student,2050715.039,20.50885355
501,DowntownYonge,2021,Q1,Other Visitor,6281085.447,62.81607103
